App	Category	Rating	Reviews	Size	Installs	Type	Price	Content Rating	Genres	Last Updated	Current Ver	Android Ver
Memes Button	COMICS	4.4	5968	5.7M	1,000,000+	Free	0	Everyone	Comics	28-May-18	1.4	4.0 and up
Messenger Lite: Free Calls & Messages	COMMUNICATION	4.4	1429035	Varies with device	100,000,000+	Free	0	Everyone	Communication	25-Jul-18	37.0.0.7.163	2.3 and up
Gmail	COMMUNICATION	4.3	4604324	Varies with device	1,000,000,000+	Free	0	Everyone	Communication	2-Aug-18	Varies with device	Varies with device
Hangouts	COMMUNICATION	4	3419249	Varies with device	1,000,000,000+	Free	0	Everyone	Communication	21-Jul-18	Varies with device	Varies with device
Viber Messenger	COMMUNICATION	4.3	11334799	Varies with device	500,000,000+	Free	0	Everyone	Communication	18-Jul-18	Varies with device	Varies with device
My Tele2	COMMUNICATION	4.3	158679	8.8M	5,000,000+	Free	0	Everyone	Communication	3-Aug-18	2.4.1	4.4 and up
Firefox Browser fast & private	COMMUNICATION	4.4	3075028	Varies with device	100,000,000+	Free	0	Everyone	Communication	10-Jul-18	Varies with device	Varies with device
Yahoo Mail – Stay Organized	COMMUNICATION	4.3	4187998	16M	100,000,000+	Free	0	Everyone	Communication	18-Jul-18	5.29.3	4.4 and up
imo beta free calls and text	COMMUNICATION	4.3	659395	11M	100,000,000+	Free	0	Everyone	Communication	7-Jun-18	9.8.000000010492	4.0 and up
imo free video calls and chat	COMMUNICATION	4.3	4785892	11M	500,000,000+	Free	0	Everyone	Communication	8-Jun-18	9.8.000000010501	4.0 and up
Contacts	COMMUNICATION	4.3	66602	Varies with device	50,000,000+	Free	0	Everyone	Communication	26-Jun-18	2.8.4.201036949	5.0 and up
Call Free – Free Call	COMMUNICATION	4.3	30209	15M	5,000,000+	Free	0	Everyone	Communication	28-Jul-18	1.3.4	4.1 and up
Web Browser & Explorer	COMMUNICATION	4	36901	6.6M	5,000,000+	Free	0	Everyone	Communication	4-Jul-18	11.8.6	4.0.3 - 7.1.1
Opera Mini - fast web browser	COMMUNICATION	4.5	5149854	Varies with device	100,000,000+	Free	0	Everyone	Communication	19-Jul-18	Varies with device	Varies with device
Browser 4G	COMMUNICATION	4.3	192948	6.6M	10,000,000+	Free	0	Everyone	Communication	19-Jun-18	24.6.6	4.0.3 - 7.1.1
MegaFon Dashboard	COMMUNICATION	3.7	99559	Varies with device	10,000,000+	Free	0	Everyone	Communication	30-Jul-18	Varies with device	Varies with device
ZenUI Dialer & Contacts	COMMUNICATION	4.5	437674	Varies with device	10,000,000+	Free	0	Everyone	Communication	1-Aug-18	Varies with device	Varies with device
Cricket Visual Voicemail	COMMUNICATION	3.9	13698	5.1M	10,000,000+	Free	0	Everyone	Communication	2-Jul-18	3.2.0.100171	4.1 and up
Opera Browser: Fast and Secure	COMMUNICATION	4.4	2473509	Varies with device	100,000,000+	Free	0	Everyone	Communication	31-Jul-18	47.1.2249.129326	Varies with device
TracFone My Account	COMMUNICATION	3.6	20769	18M	1,000,000+	Free	0	Everyone	Communication	11-Jul-18	R6.0.3	4.1 and up
Firefox Focus: The privacy browser	COMMUNICATION	4.4	36880	4.0M	1,000,000+	Free	0	Everyone	Communication	6-Jul-18	5.2	5.0 and up
Google Voice	COMMUNICATION	4.2	171031	Varies with device	10,000,000+	Free	0	Everyone	Communication	3-Aug-18	Varies with device	Varies with device
Chrome Dev	COMMUNICATION	4.4	63543	Varies with device	5,000,000+	Free	0	Everyone	Communication	2-Aug-18	69.0.3497.24	Varies with device
Xperia Link™	COMMUNICATION	4.1	45487	Varies with device	10,000,000+	Free	0	Everyone	Communication	27-Oct-16	Varies with device	Varies with device
TouchPal Keyboard - Fun Emoji & Android Keyboard	COMMUNICATION	4.4	615381	37M	10,000,000+	Free	0	Mature 17+	Communication	2-Aug-18	6.7.9.1	4.0.3 and up
Who	COMMUNICATION	4.3	2451083	Varies with device	100,000,000+	Free	0	Teen	Communication	3-Aug-18	Varies with device	Varies with device
Skype Lite - Free Video Call & Chat	COMMUNICATION	4.2	33053	22M	5,000,000+	Free	0	Everyone	Communication	31-Jul-18	1.60.0.31354-release	4.0.3 and up
WeChat	COMMUNICATION	4.2	5387333	Varies with device	100,000,000+	Free	0	Everyone	Communication	31-Jul-18	Varies with device	Varies with device
UC Browser Mini -Tiny Fast Private & Secure	COMMUNICATION	4.4	3648120	3.3M	100,000,000+	Free	0	Teen	Communication	18-Jul-18	11.4.0	4.0 and up
WhatsApp Business	COMMUNICATION	4.4	136662	32M	10,000,000+	Free	0	Everyone	Communication	30-Jul-18	2.18.116	4.0.3 and up
My magenta	COMMUNICATION	3.9	42370	37M	1,000,000+	Free	0	Everyone	Communication	25-Jun-18	7.5.1	5.0 and up
Moco - Chat, Meet People	DATING	4.2	313724	Varies with device	10,000,000+	Free	0	Mature 17+	Dating	4-Aug-18	2.6.141	4.1 and up
CMB Free Dating App	DATING	4	48845	40M	1,000,000+	Free	0	Mature 17+	Dating	1-Aug-18	4.19.0.2320	4.4 and up
Hot or Not - Find someone right now	DATING	4.1	305708	Varies with device	10,000,000+	Free	0	Mature 17+	Dating	2-Aug-18	Varies with device	Varies with device
eharmony - Online Dating App	DATING	3.1	31320	53M	5,000,000+	Free	0	Mature 17+	Dating	30-Jul-18	6.6.5	4.1 and up
Free Dating App & Flirt Chat - Match with Singles	DATING	4.4	172460	3.1M	5,000,000+	Free	0	Mature 17+	Dating	4-Aug-18	1.639	4.0 and up
Chispa, the Dating App for Latino, Latina Singles	DATING	4.2	4195	24M	100,000+	Free	0	Mature 17+	Dating	25-Jul-18	1.6.1	4.4 and up
Clover Dating App	DATING	4.1	11633	23M	500,000+	Free	0	Mature 17+	Dating	24-Jul-18	2.5.1	4.1 and up
Black People Meet Singles Date	DATING	3.9	10212	5.0M	1,000,000+	Free	0	Mature 17+	Dating	25-Jul-18	1.9.7	4.4 and up
Mingle2 - Free Online Dating & Singles Chat Rooms	DATING	4.3	37053	44M	1,000,000+	Free	0	Mature 17+	Dating	3-Aug-18	4.4B	4.1 and up
Free Dating App & Flirt Chat - Cheers	DATING	4.4	667	27M	10,000+	Free	0	Mature 17+	Dating	3-Aug-18	1.308.us	4.1 and up
stranger chat - anonymous chat	DATING	3.5	13202	6.1M	1,000,000+	Free	0	Mature 17+	Dating	7-Jul-18	2.4.1	4.1 and up
Blendr - Chat, Flirt & Meet	DATING	4	28671	Varies with device	1,000,000+	Free	0	Mature 17+	Dating	1-Aug-18	Varies with device	Varies with device
Free Dating Hook Up Messenger	DATING	3.3	1157	21M	100,000+	Free	0	Mature 17+	Dating	27-Jan-17	5.0.1	4.2 and up
Find Real Love — YouLove Premium Dating	DATING	4.5	212626	11M	10,000,000+	Free	0	Mature 17+	Dating	31-Jul-18	4.17.2	4.1 and up
Once - Quality Matches Every day	DATING	4.4	222888	21M	1,000,000+	Free	0	Mature 17+	Dating	17-Jul-18	2.45	4.1 and up
BLK - Swipe. Match. Chat.	DATING	4.1	2067	24M	100,000+	Free	0	Mature 17+	Dating	25-Jul-18	1.6.1	4.4 and up
Cougar Dating Life : Date Older Women Sugar Mummy	DATING	3.9	1643	31M	500,000+	Free	0	Mature 17+	Dating	3-Jul-18	4.5.5	4.1 and up
Howlr	DATING	3.9	105	27M	5,000+	Free	0	Mature 17+	Dating	19-Jun-18	1.0.4	4.4 and up
Stranger Chat & Date	DATING	3.6	3414	6.2M	500,000+	Free	0	Mature 17+	Dating	6-Jun-18	1.2.1	4.1 and up
Free Dating & Flirt Chat - Choice of Love	DATING	4	42194	Varies with device	5,000,000+	Free	0	Mature 17+	Dating	24-Jul-18	Varies with device	Varies with device
ABC Preschool Free	EDUCATION	3.8	27572	25M	5,000,000+	Free	0	Everyone	Education;Education	25-Oct-17	3	2.3 and up
PINKFONG Baby Shark	EDUCATION	4.5	10852	18M	1,000,000+	Free	0	Everyone	Education	28-Nov-17	10	4.1 and up
English words application mikan	EDUCATION	4.7	9888	Varies with device	500,000+	Free	0	Everyone	Education	30-Jul-18	Varies with device	4.1 and up
Learn English for beginners	EDUCATION	4.5	1929	2.5M	500,000+	Free	0	Everyone	Education	28-Sep-17	1.1	2.3 and up
Listen and learn English in seven days	EDUCATION	4.3	1516	3.9M	100,000+	Free	0	Everyone	Education	28-Jul-18	3.1	4.1 and up
Lumosity: #1 Brain Games & Cognitive Training App	EDUCATION	4.2	215301	Varies with device	10,000,000+	Free	0	Everyone	Education	1-Aug-18	Varies with device	Varies with device
Learn English from Persian: Persian to English	EDUCATION	4.3	423	21M	100,000+	Free	0	Everyone	Education	3-Apr-18	6	4.0.3 and up
English with Lingualeo	EDUCATION	4.7	254519	27M	5,000,000+	Free	0	Everyone	Education	20-Jul-18	2.8.1	4.1 and up
Learn languages, grammar & vocabulary with Memrise	EDUCATION	4.7	1107903	Varies with device	10,000,000+	Free	0	Everyone	Education	2-Aug-18	Varies with device	Varies with device
Khan Academy	EDUCATION	4.6	85375	21M	5,000,000+	Free	0	Everyone	Education	27-Jul-18	5.0.0	4.1 and up
TED	EDUCATION	4.6	181893	18M	10,000,000+	Free	0	Everyone 10+	Education	27-Jul-18	3.2.5	4.1 and up
Quizlet: Learn Languages & Vocab with Flashcards	EDUCATION	4.6	211856	Varies with device	10,000,000+	Free	0	Everyone	Education	1-Aug-18	Varies with device	Varies with device
Udemy - Online Courses	EDUCATION	4.5	99020	18M	1,000,000+	Free	0	Everyone	Education	2-Aug-18	5.0.4	5.0 and up
Coursera: Online courses	EDUCATION	4.4	90481	Varies with device	5,000,000+	Free	0	Everyone	Education	27-Jul-18	Varies with device	Varies with device
edX - Online Courses by Harvard, MIT & more	EDUCATION	4.6	32381	10M	1,000,000+	Free	0	Everyone 10+	Education	15-Jul-18	2.15.1	4.1 and up
Elevate - Brain Training Games	EDUCATION	4.5	248912	Varies with device	5,000,000+	Free	0	Everyone	Education	30-Jul-18	Varies with device	Varies with device
NeuroNation - Focus and Brain Training	EDUCATION	4.5	248555	Varies with device	5,000,000+	Free	0	Everyone	Education;Brain Games	23-May-18	Varies with device	4.0.3 and up
Lumosity: #1 Brain Games & Cognitive Training App	EDUCATION	4.2	215301	Varies with device	10,000,000+	Free	0	Everyone	Education	1-Aug-18	Varies with device	Varies with device
Peak – Brain Games & Training	EDUCATION	4.4	272145	Varies with device	10,000,000+	Free	0	Everyone	Education;Brain Games	3-Aug-18	3.14.15	5.0 and up
Memorado - Brain Games	EDUCATION	4.4	56897	97M	1,000,000+	Free	0	Everyone	Education;Brain Games	16-Jan-17	1.10.0	4.1 and up
YouTube Kids	ENTERTAINMENT	4.5	470089	Varies with device	50,000,000+	Free	0	Everyone	Entertainment;Music & Video	3-Aug-18	3.43.3	4.1 and up
Mobile TV	ENTERTAINMENT	3.5	10939	4.6M	10,000,000+	Free	0	Everyone	Entertainment	28-Apr-16	2.05.0010	5.0 and up
TV+	ENTERTAINMENT	4.2	98509	Varies with device	5,000,000+	Free	0	Everyone	Entertainment	28-Jun-18	Varies with device	Varies with device
Digital TV	ENTERTAINMENT	3.1	5241	Varies with device	5,000,000+	Free	0	Everyone	Entertainment	6-Jun-18	Varies with device	6.0 and up
Motorola Spotlight Player™	ENTERTAINMENT	4.6	22508	3.3M	10,000,000+	Free	0	Everyone	Entertainment	16-Jul-15	v1.8b22p13	4.2 and up
Vigo Lite	ENTERTAINMENT	4.2	10291	6.5M	5,000,000+	Free	0	Teen	Entertainment	4-Aug-18	3.7.3	4.0.3 and up
Google Play Games	ENTERTAINMENT	4.3	7165362	Varies with device	1,000,000,000+	Free	0	Teen	Entertainment	16-Jul-18	Varies with device	Varies with device
Hotstar	ENTERTAINMENT	4.3	4885646	Varies with device	100,000,000+	Free	0	Teen	Entertainment	3-Aug-18	Varies with device	Varies with device
Peers.TV: broadcast TV channels First, Match TV, TNT ...	ENTERTAINMENT	4.1	141980	Varies with device	5,000,000+	Free	0	Teen	Entertainment	30-Jul-18	Varies with device	Varies with device
The green alien dance	ENTERTAINMENT	3.8	6979	12M	1,000,000+	Free	0	Everyone	Entertainment	5-Jul-18	1.03	4.0 and up
Spectrum TV	ENTERTAINMENT	3.4	46618	Varies with device	5,000,000+	Free	0	Teen	Entertainment	19-Jul-18	Varies with device	Varies with device
H TV	ENTERTAINMENT	4.3	103078	5.6M	5,000,000+	Free	0	Everyone	Entertainment	5-Jul-18	4.6.2	2.3.3 and up
StarTimes - Live International Champions Cup	ENTERTAINMENT	4.4	17682	9.7M	1,000,000+	Free	0	Everyone	Entertainment	3-Aug-18	5.2	4.0.3 and up
Cinematic Cinematic	ENTERTAINMENT	4.4	37000	15M	1,000,000+	Free	0	Mature 17+	Entertainment	21-Jun-18	4.0.5	4.1 and up
MEGOGO - Cinema and TV	ENTERTAINMENT	4	175528	Varies with device	10,000,000+	Free	0	Everyone	Entertainment	3-Aug-18	Varies with device	Varies with device
Talking Angela	ENTERTAINMENT	3.7	1828284	52M	100,000,000+	Free	0	Everyone	Entertainment	12-Jul-18	2.8.2	4.1 and up
DStv Now	ENTERTAINMENT	3.9	34923	Varies with device	5,000,000+	Free	0	Teen	Entertainment	27-Jul-18	Varies with device	Varies with device
ivi - movies and TV shows in HD	ENTERTAINMENT	4.5	684116	Varies with device	10,000,000+	Free	0	Teen	Entertainment	31-Jul-18	Varies with device	4.2 and up
Radio Javan	ENTERTAINMENT	4.4	46916	4.5M	1,000,000+	Free	0	Everyone	Entertainment	18-Jul-18	7.3	4.2 and up
Viki: Asian TV Dramas & Movies	ENTERTAINMENT	4.3	407698	Varies with device	10,000,000+	Free	0	Teen	Entertainment	27-Jul-18	Varies with device	Varies with device
Fever	EVENTS	4	20611	12M	1,000,000+	Free	0	Teen	Events	18-Jul-18	4.3.6	4.1 and up
DroidAdmin for Android - Advice	EVENTS	4.2	811	2.8M	10,000+	Free	0	Everyone	Events	29-May-18	3.8	4.0 and up
SeatGeek Tickets to Sports, Concerts, Broadway	EVENTS	4.4	15558	26M	1,000,000+	Free	0	Everyone	Events	3-Aug-18	2018.07.31229	5.0 and up
my4D	EVENTS	4.6	573	8.7M	100,000+	Free	0	Everyone	Events	12-Jul-18	1.4	4.2 and up
VAN NIAN 2018 - Vietnamese Calendar	EVENTS	NaN	37	16M	10,000+	Free	0	Everyone	Events	27-Nov-17	1	4.0 and up
Vivid Seats  Event Tickets	EVENTS	4.6	8232	53M	1,000,000+	Free	0	Everyone	Events	31-Jul-18	Varies with device	5.0 and up
Name days	EVENTS	4.1	3089	Varies with device	100,000+	Free	0	Everyone	Events	12-Jul-18	Varies with device	Varies with device
LBB - Find New & Unique Things To Do Around You	EVENTS	4.6	3874	14M	100,000+	Free	0	Everyone	Events	27-Jul-18	4.0.19	4.2 and up
Happy Birthday Songs Offline	EVENTS	4.4	464	8.9M	100,000+	Free	0	Everyone	Events	4-Dec-17	1.3	4.1 and up
Series Valley of the Wolves full of part	EVENTS	4.6	731	11M	50,000+	Free	0	Everyone	Events	24-Dec-17	2	4.0 and up
Mummatikabalkuragi	EVENTS	4.9	69	334k	1,000+	Free	0	Teen	Events	22-Jul-18	1	4.0 and up
Gametime - Tickets to Sports, Concerts, Theater	EVENTS	4.5	8800	24M	1,000,000+	Free	0	Everyone	Events	17-Jul-18	11.1.1	5.0 and up
PTI Flex Maker, Photo Frame Editor & Songs 2018	EVENTS	4.6	99	13M	10,000+	Free	0	Everyone	Events	6-Jul-18	1.1	4.2 and up
Wipe out	EVENTS	4.7	30	Varies with device	500+	Free	0	Teen	Events	23-May-18	Varies with device	Varies with device
Birthdays & Other Events	EVENTS	4.3	456	2.8M	50,000+	Free	0	Everyone	Events	21-Jun-18	1.75	2.3.3 and up
Sarajevo Film Festival - Official	EVENTS	NaN	6	9.7M	100+	Free	0	Everyone 10+	Events	31-Jul-18	2.0.1	4.4W and up
Summer Madness	EVENTS	NaN	4	1.4M	100+	Free	0	Everyone	Events	26-Jul-18	1.107	4.0 and up
Events High - Meet Your City!	EVENTS	4.2	3200	Varies with device	100,000+	Free	0	Everyone 10+	Events	23-Jun-18	Varies with device	Varies with device
vide-greniers.org	EVENTS	4.3	5839	3.5M	100,000+	Free	0	Everyone	Events	8-Nov-16	16.11.8	2.3.3 and up
SUMMER SONIC app	EVENTS	5	4	61M	500+	Free	0	Everyone	Events	24-Jul-18	1	4.4 and up
Nedbank Money	FINANCE	4.2	6076	32M	500,000+	Free	0	Everyone	Finance	28-Jul-18	4.1.1-0-prod	4.2 and up
SCB EASY	FINANCE	4.2	112656	93M	5,000,000+	Free	0	Everyone	Finance	19-Jul-18	3.9.0	4.1 and up
CASHIER	FINANCE	3.3	335738	Varies with device	10,000,000+	Free	0	Everyone	Finance	3-May-18	Varies with device	Varies with device
Rabo Banking	FINANCE	3.4	31906	Varies with device	1,000,000+	Free	0	Everyone	Finance	19-Jul-18	5.16.0	4.0 and up
Capitec Remote Banking	FINANCE	4.3	20672	Varies with device	1,000,000+	Free	0	Everyone	Finance	8-May-18	Varies with device	Varies with device
Itau bank	FINANCE	4.2	957973	40M	10,000,000+	Free	0	Everyone	Finance	30-Jul-18	6.5.7	4.2 and up
Nubank	FINANCE	4.7	130582	24M	5,000,000+	Free	0	Everyone	Finance	2-Aug-18	Varies with device	Varies with device
The Societe Generale App	FINANCE	4.1	31218	Varies with device	1,000,000+	Free	0	Everyone	Finance	31-Jul-18	Varies with device	Varies with device
IKO	FINANCE	4.7	167168	20M	1,000,000+	Free	0	Everyone	Finance	4-Jul-18	3.115.27	4.1 and up
Cash App	FINANCE	4	34428	15M	10,000,000+	Free	0	Everyone	Finance	2-Aug-18	2.31.1	5.0 and up
Standard Bank / Stanbic Bank	FINANCE	3.6	15247	28M	1,000,000+	Free	0	Everyone	Finance	13-Jul-18	3.0.5	4.0.3 and up
Bualuang mBanking	FINANCE	4	48445	10M	5,000,000+	Free	0	Everyone	Finance	16-Jul-18	2.6.0	4.0.3 and up
Intesa Sanpaolo Mobile	FINANCE	3.6	35518	Varies with device	1,000,000+	Free	0	Everyone	Finance	2-Jul-18	Varies with device	Varies with device
UBA Mobile Banking	FINANCE	4.3	12185	Varies with device	1,000,000+	Free	0	Everyone	Finance	8-Jun-18	Varies with device	Varies with device
BBVA Spain	FINANCE	4.2	36746	Varies with device	5,000,000+	Free	0	Everyone	Finance	24-Jul-18	Varies with device	Varies with device
MyMo by GSB	FINANCE	4.2	21996	14M	1,000,000+	Free	0	Everyone	Finance	19-Jul-18	1.17.2	4.0.3 and up
VTB-Online	FINANCE	4.1	138371	Varies with device	5,000,000+	Free	0	Everyone	Finance	2-Aug-18	Varies with device	4.0.3 and up
Ecobank Mobile Banking	FINANCE	4	12073	42M	1,000,000+	Free	0	Everyone	Finance	25-May-18	3.3	4.2 and up
Banorte Movil	FINANCE	4.1	111632	65M	1,000,000+	Free	0	Everyone	Finance	9-Jun-18	5.10.1.40699	4.4 and up
Wells Fargo Mobile	FINANCE	4.4	250706	37M	10,000,000+	Free	0	Everyone	Finance	31-Jul-18	6.8.0.109	5.0 and up
DELISH KITCHEN - FREE recipe movies make food fun and easy!	FOOD_AND_DRINK	4.6	32997	13M	1,000,000+	Free	0	Everyone	Food & Drink	4-Aug-18	2.2.7	4.1 and up
Sumine side dish - dish recipe side dish	FOOD_AND_DRINK	NaN	82	4.9M	10,000+	Free	0	Everyone	Food & Drink	23-Jun-18	1.1	4.1 and up
Easy Recipes	FOOD_AND_DRINK	4.7	2707	8.9M	100,000+	Free	0	Everyone	Food & Drink	15-May-18	2.12	4.0.3 and up
Delicious Recipes	FOOD_AND_DRINK	4.7	129737	Varies with device	1,000,000+	Free	0	Teen	Food & Drink	3-Aug-18	Varies with device	Varies with device
Tastely	FOOD_AND_DRINK	4.7	611136	19M	10,000,000+	Free	0	Everyone	Food & Drink	13-Jul-18	3.2.0d	4.0.3 and up
Pastry & Cooking (Without Net)	FOOD_AND_DRINK	4.7	6118	Varies with device	1,000,000+	Free	0	Everyone	Food & Drink	7-Jul-18	Varies with device	Varies with device
Frigo Magic: Easy recipe idea and anti-waste	FOOD_AND_DRINK	4.1	2473	14M	500,000+	Free	0	Everyone	Food & Drink	28-Jul-18	3.1.5	4.4 and up
McDonald's - McDonald's Japan	FOOD_AND_DRINK	3.4	109784	64M	10,000,000+	Free	0	Everyone	Food & Drink	3-Aug-18	4.0.30	4.0.3 and up
Debonairs Pizza	FOOD_AND_DRINK	3.8	3320	8.4M	500,000+	Free	0	Everyone	Food & Drink	4-Aug-18	1.9.117	4.0.3 and up
Popeyes® App	FOOD_AND_DRINK	3.7	61	11M	50,000+	Free	0	Everyone	Food & Drink	23-Jul-18	1.0.2	4.1 and up
Dunkin' Donuts	FOOD_AND_DRINK	4.2	68103	66M	1,000,000+	Free	0	Everyone	Food & Drink	20-Jun-18	5.0.0	4.4 and up
Pyaterochka	FOOD_AND_DRINK	3.1	8412	Varies with device	1,000,000+	Free	0	Everyone	Food & Drink	19-Jul-18	Varies with device	4.4 and up
Refreshing app Free application that can use deal coupons	FOOD_AND_DRINK	3.5	10741	41M	1,000,000+	Free	0	Everyone	Food & Drink	23-Jul-18	5.2.2	4.2 and up
Simple Recipes	FOOD_AND_DRINK	4.7	3803	15M	500,000+	Free	0	Everyone	Food & Drink	22-Feb-18	1.6	4.0 and up
Grubhub: Food Delivery	FOOD_AND_DRINK	4.5	155944	35M	5,000,000+	Free	0	Everyone	Food & Drink	2-Aug-18	7.12	5.0 and up
Panera Bread	FOOD_AND_DRINK	4.2	10159	36M	1,000,000+	Free	0	Everyone	Food & Drink	17-Jul-18	4.3.3	5.0 and up
Chick-fil-A	FOOD_AND_DRINK	4.3	28008	17M	5,000,000+	Free	0	Everyone	Food & Drink	3-Aug-18	6.0.1	5.0 and up
hellofood - Food Delivery	FOOD_AND_DRINK	4	43614	25M	1,000,000+	Free	0	Everyone	Food & Drink	12-Oct-16	2.14.36	4.0.3 and up
Starbucks	FOOD_AND_DRINK	4.5	455377	35M	10,000,000+	Free	0	Everyone	Food & Drink	1-Aug-18	4.11.1	4.4 and up
Easy and quick desserts	FOOD_AND_DRINK	4.6	1398	10M	100,000+	Free	0	Everyone 10+	Food & Drink	14-Jun-18	1	4.0.3 and up
Pedometer - Step Counter Free & Calorie Burner	HEALTH_AND_FITNESS	4.8	31139	6.9M	1,000,000+	Free	0	Everyone	Health & Fitness	24-Jul-18	1.0.11	4.1 and up
Six Pack in 30 Days - Abs Workout	HEALTH_AND_FITNESS	4.9	272337	13M	10,000,000+	Free	0	Everyone	Health & Fitness	21-Jun-18	1.0.2	4.2 and up
Lose Weight in 30 Days	HEALTH_AND_FITNESS	4.8	220125	11M	10,000,000+	Free	0	Everyone	Health & Fitness	31-Jul-18	1.0.14	4.0 and up
Pedometer	HEALTH_AND_FITNESS	4.4	400592	2.9M	10,000,000+	Free	0	Everyone	Health & Fitness	4-Jul-18	5.23	4.0 and up
LG Health	HEALTH_AND_FITNESS	3.3	20098	25M	10,000,000+	Free	0	Everyone	Health & Fitness	14-May-18	5.31.75	4.4 and up
Step Counter - Pedometer Free & Calorie Counter	HEALTH_AND_FITNESS	4.7	117925	7.0M	10,000,000+	Free	0	Everyone	Health & Fitness	24-Jul-18	1.0.26	4.1 and up
Pedometer, Step Counter & Weight Loss Tracker App	HEALTH_AND_FITNESS	4.6	548021	27M	10,000,000+	Free	0	Everyone	Health & Fitness	2-Aug-18	p5.7.1	4.1 and up
Sportractive GPS Running Cycling Distance Tracker	HEALTH_AND_FITNESS	4.8	48276	7.5M	1,000,000+	Free	0	Everyone	Health & Fitness	4-Aug-18	3.0.6	4.4 and up
30 Day Fitness Challenge - Workout at Home	HEALTH_AND_FITNESS	4.8	471036	Varies with device	10,000,000+	Free	0	Everyone	Health & Fitness	3-Aug-18	Varies with device	4.0 and up
Home Workout for Men - Bodybuilding	HEALTH_AND_FITNESS	4.8	12705	15M	1,000,000+	Free	0	Everyone	Health & Fitness	10-Jul-18	1.0.2	4.0 and up
Fat Burning Workout - Home Weight lose	HEALTH_AND_FITNESS	4.5	706	9.4M	100,000+	Free	0	Everyone	Health & Fitness	24-Jul-18	1.0.5	4.1 and up
Buttocks and Abdomen	HEALTH_AND_FITNESS	4.4	465	6.4M	500,000+	Free	0	Everyone	Health & Fitness	7-Jun-18	1.08	4.0.3 and up
Walking for Weight Loss - Walk Tracker	HEALTH_AND_FITNESS	4.5	644	5.5M	100,000+	Free	0	Everyone	Health & Fitness	25-Jul-18	1.0.4	4.1 and up
Running & Jogging	HEALTH_AND_FITNESS	4.5	6238	3.9M	500,000+	Free	0	Everyone	Health & Fitness	30-Jul-18	1.1.22	4.1 and up
Walk with Map My Walk	HEALTH_AND_FITNESS	4.5	144040	55M	5,000,000+	Free	0	Everyone	Health & Fitness	27-Jul-18	18.7.1	5.0 and up
Sleep Sounds	HEALTH_AND_FITNESS	4.8	51227	28M	1,000,000+	Free	0	Everyone	Health & Fitness	13-Jul-18	4.0.1	4.0.3 and up
Fitbit	HEALTH_AND_FITNESS	3.9	357417	Varies with device	10,000,000+	Free	0	Everyone	Health & Fitness	26-Jul-18	Varies with device	Varies with device
Lose Belly Fat-Home Abs Fitness Workout	HEALTH_AND_FITNESS	4.6	199	8.8M	50,000+	Free	0	Everyone	Health & Fitness	24-Jul-18	1.0.7	4.1 and up
Runtastic Running App & Mile Tracker	HEALTH_AND_FITNESS	4.5	827597	Varies with device	10,000,000+	Free	0	Everyone	Health & Fitness	25-Jul-18	Varies with device	Varies with device
Cycling - Bike Tracker	HEALTH_AND_FITNESS	4.5	9116	4.0M	500,000+	Free	0	Everyone	Health & Fitness	30-Jul-18	1.1.22	4.1 and up
General culture	LIBRARIES_AND_DEMO	NaN	26	10M	10,000+	Free	0	Everyone	Libraries & Demo	20-Feb-18	1.2	4.0 and up
Luffs	LIBRARIES_AND_DEMO	NaN	487	3.7M	100,000+	Free	0	Everyone	Libraries & Demo	16-Jan-18	1	4.0.3 and up
Aviary Effects: Classic	LIBRARIES_AND_DEMO	3.8	67007	232k	5,000,000+	Free	0	Everyone	Libraries & Demo	6-Mar-13	1.2.0	2.2 and up
Chakra Cleansing	LIBRARIES_AND_DEMO	4.6	539	99M	50,000+	Free	0	Everyone	Libraries & Demo	2-Aug-18	7	4.0.3 and up
Aviary Stickers: Free Pack	LIBRARIES_AND_DEMO	3.5	126862	624k	10,000,000+	Free	0	Everyone	Libraries & Demo	17-Jan-12	1	2.2 and up
Call Recorder	LIBRARIES_AND_DEMO	4.7	48	6.9M	1,000+	Free	0	Everyone	Libraries & Demo	25-May-18	1.7.2.10	4.0 and up
Pink Water Sakura Keyboard Theme	LIBRARIES_AND_DEMO	4.3	1465	7.0M	100,000+	Free	0	Everyone	Libraries & Demo	9-Jul-18	6.7.5	4.0.3 and up
auto Call Recorder 2018	LIBRARIES_AND_DEMO	4.5	929	7.0M	50,000+	Free	0	Everyone	Libraries & Demo	16-Feb-18	1.02.2018.11	4.0 and up
converter video to mp3	LIBRARIES_AND_DEMO	4.4	783	6.4M	100,000+	Free	0	Everyone	Libraries & Demo	10-Jun-17	1.6	2.2 and up
eBiblio	LIBRARIES_AND_DEMO	3.4	2907	Varies with device	50,000+	Free	0	Everyone	Libraries & Demo	22-Jun-18	Varies with device	Varies with device
chicken song	LIBRARIES_AND_DEMO	4.3	434	16M	100,000+	Free	0	Everyone	Libraries & Demo	6-Jun-18	6.0.0	2.3 and up
Words (188 Category)	LIBRARIES_AND_DEMO	NaN	54	5.9M	10,000+	Free	0	Everyone	Libraries & Demo	4-Jul-18	1	4.0.3 and up
Binaural Beats Meditation	LIBRARIES_AND_DEMO	4.3	411	95M	50,000+	Free	0	Everyone	Libraries & Demo	8-Jun-18	5	4.0.3 and up
